seq_id,start,end,strand,gene_id,gene_name,gene_biotype,gene_class,source,category,length
1,1488938,1490204,+,ENSGALG00010006563,,protein_coding,CODING,reference,REF,1267
1,1497904,1502453,+,ENSGALG00010006566,,protein_coding,CODING,reference,REF,4550
1,1503030,1507277,+,ENSGALG00010006574,,protein_coding,CODING,reference,REF,4248
1,1507199,1516893,-,ENSGALG00010006581,,protein_coding,CODING,reference,REF,9695
1,1517049,1522232,+,ENSGALG00010006603,,protein_coding,CODING,reference,REF,5184
1,1520366,1541146,-,ENSGALG00010006616,,protein_coding,CODING,reference,REF,20781
1,1553290,1554517,+,ENSGALG00010006625,,protein_coding,CODING,reference,REF,1228
1,1557860,1582406,-,ENSGALG00010006633,,protein_coding,CODING,reference,REF,24547
1,1582631,1597555,+,ENSGALG00010006670,,protein_coding,CODING,reference,REF,14925
1,1600071,1614883,+,ENSGALG00010007891,,protein_coding,CODING,reference,REF,14813
1,1602495,1648631,-,ENSGALG00010006760,,protein_coding,CODING,reference,REF,46137
1,1654424,1666165,+,ENSGALG00010006838,,protein_coding,CODING,reference,REF,11742
1,1670884,1673613,-,ENSGALG00010006845,,protein_coding,CODING,reference,REF,2730
1,1675660,1727713,-,ENSGALG00010006853,,protein_coding,CODING,reference,REF,52054
1,1727414,1743448,+,ENSGALG00010006901,,protein_coding,CODING,reference,REF,16035
1,1746263,1746919,-,ENSGALG00010007604,,protein_coding,CODING,reference,REF,657
1,1751070,1756067,-,ENSGALG00010006927,,protein_coding,CODING,reference,REF,4998
1,1765363,1860279,-,ENSGALG00010006948,,protein_coding,CODING,reference,REF,94917
1,1880144,1894788,+,ENSGALG00010006992,,protein_coding,CODING,reference,REF,14645
1,1901224,1950378,-,ENSGALG00010007000,,protein_coding,CODING,reference,REF,49155
1,1959626,2369574,-,ENSGALG00010007002,,protein_coding,CODING,reference,REF,409949
1,2020997,2022146,+,ENSGALG00010007003,,protein_coding,CODING,reference,REF,1150
1,2169709,2178494,+,ENSGALG00010007004,,protein_coding,CODING,reference,REF,8786
1,2170664,2171443,-,ENSGALG00010007006,,protein_coding,CODING,reference,REF,780
1,2175806,2176239,-,ENSGALG00010007025,,protein_coding,CODING,reference,REF,434
1,2183111,2184959,+,ENSGALG00010007005,,protein_coding,CODING,reference,REF,1849
1,2186837,2191077,+,ENSGALG00010007892,,protein_coding,CODING,reference,REF,4241
1,2195603,2433928,+,ENSGALG00010007014,,protein_coding,CODING,reference,REF,238326
1,2196397,2197176,-,ENSGALG00010007036,,protein_coding,CODING,reference,REF,780
1,2209498,2210277,-,ENSGALG00010007078,,protein_coding,CODING,reference,REF,780
1,2511285,2721092,+,ENSGALG00010005317,,protein_coding,CODING,reference,REF,209808
1,2548862,2549295,+,ENSGALG00010005325,,protein_coding,CODING,reference,REF,434
1,2563262,2565533,-,ENSGALG00010005327,,protein_coding,CODING,reference,REF,2272
1,2565122,2565555,+,ENSGALG00010005331,,protein_coding,CODING,reference,REF,434
1,2779998,2786241,-,ENSGALG00010007596,,protein_coding,CODING,reference,REF,6244
1,2830528,3278055,+,ENSGALG00010005333,,protein_coding,CODING,reference,REF,447528
1,3366703,3366936,+,ENSGALG00010007598,,protein_coding,CODING,reference,REF,234
1,3374662,3374895,+,ENSGALG00010007599,,protein_coding,CODING,reference,REF,234
1,3401120,3401353,+,ENSGALG00010007602,,protein_coding,CODING,reference,REF,234
1,3637224,3677367,+,ENSGALG00010006076,,protein_coding,CODING,reference,REF,40144
1,3685585,3784877,-,ENSGALG00010006108,,protein_coding,CODING,reference,REF,99293
1,4010284,4020407,+,ENSGALG00010006134,,protein_coding,CODING,reference,REF,10124
1,4023671,4043101,-,ENSGALG00010006175,,protein_coding,CODING,reference,REF,19431
1,4060982,4074836,+,ENSGALG00010006193,,protein_coding,CODING,reference,REF,13855
1,4087559,4127133,+,ENSGALG00010006245,,protein_coding,CODING,reference,REF,39575
1,4208592,4263414,-,ENSGALG00010005409,,protein_coding,CODING,reference,REF,54823
1,4425938,4428963,-,ENSGALG00010005234,,protein_coding,CODING,reference,REF,3026
1,4474992,4533237,-,ENSGALG00010005239,,protein_coding,CODING,reference,REF,58246
1,4532990,4570880,-,ENSGALG00010007850,,protein_coding,CODING,reference,REF,37891
1,4697074,4727929,+,ENSGALG00010005254,,protein_coding,CODING,reference,REF,30856
1,4737283,4767484,+,ENSGALG00010007857,,protein_coding,CODING,reference,REF,30202
1,4769263,4816844,-,ENSGALG00010005258,,protein_coding,CODING,reference,REF,47582
1,4773014,4850695,+,ENSGALG00010005264,,protein_coding,CODING,reference,REF,77682
1,4847710,4865308,-,ENSGALG00010005269,,protein_coding,CODING,reference,REF,17599
1,4865121,4872309,+,ENSGALG00010005283,,protein_coding,CODING,reference,REF,7189
1,4874712,4988615,+,ENSGALG00010005292,,protein_coding,CODING,reference,REF,113904
1,5010201,5037186,+,ENSGALG00010005232,,protein_coding,CODING,reference,REF,26986
1,6010280,6565885,+,ENSGALG00010005619,,protein_coding,CODING,reference,REF,555606
1,6621627,6732020,-,ENSGALG00010005651,,protein_coding,CODING,reference,REF,110394
1,6752040,6756793,+,ENSGALG00010005705,,protein_coding,CODING,reference,REF,4754
1,6774550,6799357,+,ENSGALG00010005724,,protein_coding,CODING,reference,REF,24808
1,6805169,6860584,-,ENSGALG00010005814,,protein_coding,CODING,reference,REF,55416
1,6864841,6881761,+,ENSGALG00010007883,,protein_coding,CODING,reference,REF,16921
1,6888415,6904582,+,ENSGALG00010005831,,protein_coding,CODING,reference,REF,16168
1,6904751,6916347,-,ENSGALG00010005926,,protein_coding,CODING,reference,REF,11597
1,6916348,6954293,+,ENSGALG00010006015,,protein_coding,CODING,reference,REF,37946
1,6978139,7202455,+,ENSGALG00010005360,,protein_coding,CODING,reference,REF,224317
1,7213806,7254935,-,ENSGALG00010005368,,protein_coding,CODING,reference,REF,41130
1,7280861,7300290,+,ENSGALG00010005383,,protein_coding,CODING,reference,REF,19430
1,7303900,7320874,+,ENSGALG00010005389,,protein_coding,CODING,reference,REF,16975
1,7309200,7335507,-,ENSGALG00010005394,,protein_coding,CODING,reference,REF,26308
1,7341829,7363872,-,ENSGALG00010005398,,protein_coding,CODING,reference,REF,22044
1,7379578,7427859,-,ENSGALG00010005404,,protein_coding,CODING,reference,REF,48282
1,7439485,7456718,+,ENSGALG00010005699,,protein_coding,CODING,reference,REF,17234
1,7458576,7816711,-,ENSGALG00010005800,,protein_coding,CODING,reference,REF,358136
1,7880749,7943999,-,ENSGALG00010005879,,protein_coding,CODING,reference,REF,63251
1,8026709,8037672,+,ENSGALG00010005964,,protein_coding,CODING,reference,REF,10964
1,8039123,8048874,+,ENSGALG00010005979,,protein_coding,CODING,reference,REF,9752
1,8046903,8059742,-,ENSGALG00010006004,,protein_coding,CODING,reference,REF,12840
1,8059870,8071710,+,ENSGALG00010006032,,protein_coding,CODING,reference,REF,11841
1,8076827,8083882,+,ENSGALG00010006053,,protein_coding,CODING,reference,REF,7056
1,8083795,8112422,-,ENSGALG00010006064,,protein_coding,CODING,reference,REF,28628
1,8146280,8238788,+,ENSGALG00010005425,,protein_coding,CODING,reference,REF,92509
1,8245350,8353804,-,ENSGALG00010005431,,protein_coding,CODING,reference,REF,108455
1,8899137,9042001,+,ENSGALG00010005457,,protein_coding,CODING,reference,REF,142865
1,9238173,9574359,+,ENSGALG00010005470,,protein_coding,CODING,reference,REF,336187
1,9710219,9842463,+,ENSGALG00010006251,,protein_coding,CODING,reference,REF,132245
1,9939108,10265201,+,ENSGALG00010006261,,protein_coding,CODING,reference,REF,326094
1,10427911,10787255,+,ENSGALG00010010410,,protein_coding,CODING,reference,REF,359345
1,10805977,10806656,+,ENSGALG00010010433,,protein_coding,CODING,reference,REF,680
1,10859559,10922301,+,ENSGALG00010010439,,protein_coding,CODING,reference,REF,62743
1,11250329,11371157,+,ENSGALG00010010460,,protein_coding,CODING,reference,REF,120829
1,11393024,11487687,-,ENSGALG00010008392,,protein_coding,CODING,reference,REF,94664
1,11470630,11502275,+,ENSGALG00010008403,,protein_coding,CODING,reference,REF,31646
1,11577337,11612028,-,ENSGALG00010008407,,protein_coding,CODING,reference,REF,34692
1,11891903,12617753,+,ENSGALG00010008425,,protein_coding,CODING,reference,REF,725851
1,11994342,12024356,-,ENSGALG00010008440,,protein_coding,CODING,reference,REF,30015
1,12638984,12702068,-,ENSGALG00010009371,,protein_coding,CODING,reference,REF,63085
1,12702109,12723576,+,ENSGALG00010009386,,protein_coding,CODING,reference,REF,21468
1,12714574,12757773,-,ENSGALG00010009391,,protein_coding,CODING,reference,REF,43200
1,12769812,12935883,-,ENSGALG00010009407,,protein_coding,CODING,reference,REF,166072
1,12874495,12922181,+,ENSGALG00010009453,,protein_coding,CODING,reference,REF,47687
1,12922133,12994990,-,ENSGALG00010009500,,protein_coding,CODING,reference,REF,72858
1,12974598,12980793,+,ENSGALG00010009518,,protein_coding,CODING,reference,REF,6196
1,12995207,13035006,+,ENSGALG00010009524,,protein_coding,CODING,reference,REF,39800
1,13036104,13114766,-,ENSGALG00010009531,,protein_coding,CODING,reference,REF,78663
1,13067698,13085257,+,ENSGALG00010009600,,protein_coding,CODING,reference,REF,17560
1,13113023,13123402,+,ENSGALG00010009616,,protein_coding,CODING,reference,REF,10380
1,13125207,13144967,-,ENSGALG00010009658,,protein_coding,CODING,reference,REF,19761
1,13165621,13174866,+,ENSGALG00010009541,,protein_coding,CODING,reference,REF,9246
1,13174771,13195120,-,ENSGALG00010009571,,protein_coding,CODING,reference,REF,20350
1,13192276,13199296,+,ENSGALG00010009643,,protein_coding,CODING,reference,REF,7021
1,13201564,13236340,-,ENSGALG00010009677,,protein_coding,CODING,reference,REF,34777
1,13244110,13516822,-,ENSGALG00010009720,,protein_coding,CODING,reference,REF,272713
1,13545590,13614029,-,ENSGALG00010009857,,protein_coding,CODING,reference,REF,68440
1,13670737,13906297,+,ENSGALG00010009991,,protein_coding,CODING,reference,REF,235561
1,13961666,14016782,+,ENSGALG00010010022,,protein_coding,CODING,reference,REF,55117
1,14016179,14154134,-,ENSGALG00010010119,,protein_coding,CODING,reference,REF,137956
1,14174933,14196864,+,ENSGALG00010010167,,protein_coding,CODING,reference,REF,21932
1,14197181,14209309,+,ENSGALG00010010191,,protein_coding,CODING,reference,REF,12129
1,14208613,14210775,-,ENSGALG00010010196,,protein_coding,CODING,reference,REF,2163
1,14216255,14325804,-,ENSGALG00010010216,,protein_coding,CODING,reference,REF,109550
1,14325069,14379502,+,ENSGALG00010010301,,protein_coding,CODING,reference,REF,54434
1,14387699,14407265,-,ENSGALG00010010320,,protein_coding,CODING,reference,REF,19567
1,14420710,14450363,-,ENSGALG00010010351,,protein_coding,CODING,reference,REF,29654
1,14561060,14569919,-,ENSGALG00010010475,,protein_coding,CODING,reference,REF,8860
1,14594622,14629761,+,ENSGALG00010009050,,protein_coding,CODING,reference,REF,35140
1,14651967,14735269,+,ENSGALG00010009073,,protein_coding,CODING,reference,REF,83303
1,14741149,14756465,+,ENSGALG00010009081,,protein_coding,CODING,reference,REF,15317
1,14755673,14940205,-,ENSGALG00010009115,,protein_coding,CODING,reference,REF,184533
1,14901295,14907738,+,ENSGALG00010009188,,protein_coding,CODING,reference,REF,6444
1,14939187,14951508,+,ENSGALG00010009213,,protein_coding,CODING,reference,REF,12322
1,14954539,14980576,+,ENSGALG00010009243,,protein_coding,CODING,reference,REF,26038
1,14983959,15005832,+,ENSGALG00010009254,,protein_coding,CODING,reference,REF,21874
1,15008292,15016134,+,ENSGALG00010009275,,protein_coding,CODING,reference,REF,7843
1,15017911,15031927,-,ENSGALG00010009315,,protein_coding,CODING,reference,REF,14017
1,15052827,15066616,+,ENSGALG00010009326,,protein_coding,CODING,reference,REF,13790
1,15068038,15108867,-,ENSGALG00010009336,,protein_coding,CODING,reference,REF,40830
1,15112166,15164067,-,ENSGALG00010010829,,protein_coding,CODING,reference,REF,51902
1,15165864,15187165,+,ENSGALG00010009348,,protein_coding,CODING,reference,REF,21302
1,15193975,15257977,-,ENSGALG00010009361,,protein_coding,CODING,reference,REF,64003
1,15302994,15444336,+,ENSGALG00010008134,,protein_coding,CODING,reference,REF,141343
1,15443876,15465613,-,ENSGALG00010008139,,protein_coding,CODING,reference,REF,21738
1,15466496,15512932,+,ENSGALG00010008148,,protein_coding,CODING,reference,REF,46437
1,15536757,15621127,+,ENSGALG00010008171,,protein_coding,CODING,reference,REF,84371
1,15624838,15625419,+,ENSGALG00010008060,,protein_coding,CODING,reference,REF,582
1,15626460,15674062,+,ENSGALG00010008076,,protein_coding,CODING,reference,REF,47603
1,15692490,15788625,+,ENSGALG00010008087,,protein_coding,CODING,reference,REF,96136
1,15876888,15884610,-,ENSGALG00010008183,,protein_coding,CODING,reference,REF,7723
1,15884069,15890576,+,ENSGALG00010008199,,protein_coding,CODING,reference,REF,6508
1,15895725,15907207,+,ENSGALG00010008212,,protein_coding,CODING,reference,REF,11483
1,15907271,15918949,+,ENSGALG00010008230,,protein_coding,CODING,reference,REF,11679
1,15925212,16085131,-,ENSGALG00010008275,,protein_coding,CODING,reference,REF,159920
1,16104042,16122420,-,ENSGALG00010008596,,protein_coding,CODING,reference,REF,18379
1,16110660,16198682,+,ENSGALG00010008745,,protein_coding,CODING,reference,REF,88023
1,16312840,16356169,-,ENSGALG00010008010,,protein_coding,CODING,reference,REF,43330
1,16380552,16538739,+,ENSGALG00010008025,,protein_coding,CODING,reference,REF,158188
1,17132475,17135273,+,ENSGALG00010010468,,protein_coding,CODING,reference,REF,2799
1,17271329,17728618,+,ENSGALG00010008515,,protein_coding,CODING,reference,REF,457290
1,18953316,19012531,-,ENSGALG00010008807,,protein_coding,CODING,reference,REF,59216
1,19021682,19059912,+,ENSGALG00010008938,,protein_coding,CODING,reference,REF,38231
1,19055129,19071118,-,ENSGALG00010009003,,protein_coding,CODING,reference,REF,15990
1,19071252,19082897,+,ENSGALG00010009040,,protein_coding,CODING,reference,REF,11646
1,19361675,19366025,-,ENSGALG00010008094,,protein_coding,CODING,reference,REF,4351
1,20225179,20267494,-,ENSGALG00010008043,,protein_coding,CODING,reference,REF,42316
1,20283888,20301662,-,ENSGALG00010008055,,protein_coding,CODING,reference,REF,17775
1,20302747,20335906,+,ENSGALG00010001208,,protein_coding,CODING,reference,REF,33160
1,20354847,20376025,+,ENSGALG00010001210,,protein_coding,CODING,reference,REF,21179
1,20396142,20399122,-,ENSGALG00010001919,,protein_coding,CODING,reference,REF,2981
1,20410056,20442353,+,ENSGALG00010001540,,protein_coding,CODING,reference,REF,32298
1,20475678,20486315,+,ENSGALG00010001545,,protein_coding,CODING,reference,REF,10638
1,20491567,20514587,-,ENSGALG00010001552,,protein_coding,CODING,reference,REF,23021
1,20514743,20530653,-,ENSGALG00010001559,,protein_coding,CODING,reference,REF,15911
1,20531973,20544979,-,ENSGALG00010001578,,protein_coding,CODING,reference,REF,13007
1,20551623,20583405,-,ENSGALG00010001611,,protein_coding,CODING,reference,REF,31783
1,20591528,20622092,-,ENSGALG00010001628,,protein_coding,CODING,reference,REF,30565
1,20675515,20925722,-,ENSGALG00010001220,,protein_coding,CODING,reference,REF,250208
1,21002064,21064015,+,ENSGALG00010001222,,protein_coding,CODING,reference,REF,61952
1,21099853,21424086,+,ENSGALG00010001223,,protein_coding,CODING,reference,REF,324234
1,21910949,21977311,+,ENSGALG00010001194,,protein_coding,CODING,reference,REF,66363
1,22012182,22026225,+,ENSGALG00010001448,,protein_coding,CODING,reference,REF,14044
1,22229861,22257759,-,ENSGALG00010001647,,protein_coding,CODING,reference,REF,27899
1,22265480,22281553,-,ENSGALG00010001664,,protein_coding,CODING,reference,REF,16074
1,22318315,22322988,-,ENSGALG00010001667,,protein_coding,CODING,reference,REF,4674
1,22333724,22353326,-,ENSGALG00010001673,,protein_coding,CODING,reference,REF,19603
1,22376967,22426924,+,ENSGALG00010001686,,protein_coding,CODING,reference,REF,49958
1,22445482,22451784,-,ENSGALG00010001695,,protein_coding,CODING,reference,REF,6303
1,22460279,22475309,-,ENSGALG00010001699,,protein_coding,CODING,reference,REF,15031
1,22475380,22479807,+,ENSGALG00010001701,,protein_coding,CODING,reference,REF,4428
1,22482534,22503022,+,ENSGALG00010001706,,protein_coding,CODING,reference,REF,20489
1,22511373,22565501,+,ENSGALG00010001712,,protein_coding,CODING,reference,REF,54129
1,22568449,22616080,+,ENSGALG00010001714,,protein_coding,CODING,reference,REF,47632
1,22696228,22998178,+,ENSGALG00010001745,,protein_coding,CODING,reference,REF,301951
1,23005417,23007793,+,ENSGALG00010001917,,protein_coding,CODING,reference,REF,2377
1,23035546,23036475,+,ENSGALG00010001236,,protein_coding,CODING,reference,REF,930
1,23036958,23065883,+,ENSGALG00010001234,,protein_coding,CODING,reference,REF,28926
1,23069261,23199789,-,ENSGALG00010001248,,protein_coding,CODING,reference,REF,130529
1,23373060,23402604,+,ENSGALG00010001264,,protein_coding,CODING,reference,REF,29545
1,23406841,23419250,-,ENSGALG00010001305,,protein_coding,CODING,reference,REF,12410
1,23436425,23576357,-,ENSGALG00010001320,,protein_coding,CODING,reference,REF,139933
1,23590246,23609449,-,ENSGALG00010001349,,protein_coding,CODING,reference,REF,19204
1,23629058,23676407,+,ENSGALG00010001232,,protein_coding,CODING,reference,REF,47350
1,23681323,23949372,-,ENSGALG00010001419,,protein_coding,CODING,reference,REF,268050
1,23695656,23697188,-,ENSGALG00010001421,,protein_coding,CODING,reference,REF,1533
1,24454999,24503310,+,ENSGALG00010001443,,protein_coding,CODING,reference,REF,48312
1,24508680,24563346,-,ENSGALG00010001456,,protein_coding,CODING,reference,REF,54667
1,24635651,24711223,+,ENSGALG00010001200,,protein_coding,CODING,reference,REF,75573
1,24715305,24799470,-,ENSGALG00010001202,,protein_coding,CODING,reference,REF,84166
1,24818735,24855571,+,ENSGALG00010001207,,protein_coding,CODING,reference,REF,36837
1,24859746,24873923,+,ENSGALG00010001486,,protein_coding,CODING,reference,REF,14178
1,24877113,24973223,-,ENSGALG00010002280,,protein_coding,CODING,reference,REF,96111
1,24984758,25014668,-,ENSGALG00010001492,,protein_coding,CODING,reference,REF,29911
1,25026504,25056220,-,ENSGALG00010001501,,protein_coding,CODING,reference,REF,29717
1,25079168,25166938,-,ENSGALG00010001514,,protein_coding,CODING,reference,REF,87771
1,25212408,25229141,-,ENSGALG00010002285,,protein_coding,CODING,reference,REF,16734
1,25235364,25244372,-,ENSGALG00010001517,,protein_coding,CODING,reference,REF,9009
1,25329453,25355748,-,ENSGALG00010001214,,protein_coding,CODING,reference,REF,26296
1,25380611,25506729,+,ENSGALG00010001219,,protein_coding,CODING,reference,REF,126119
1,25918014,25968465,-,ENSGALG00010001381,,protein_coding,CODING,reference,REF,50452
1,26061577,26473375,-,ENSGALG00010001407,,protein_coding,CODING,reference,REF,411799
1,26499224,26508164,-,ENSGALG00010001519,,protein_coding,CODING,reference,REF,8941
1,26514959,26548896,+,ENSGALG00010001526,,protein_coding,CODING,reference,REF,33938
1,26829206,26844904,+,ENSGALG00010001470,,protein_coding,CODING,reference,REF,15699
1,26921002,26954916,+,ENSGALG00010001475,,protein_coding,CODING,reference,REF,33915
1,26957222,26981322,+,ENSGALG00010001479,,protein_coding,CODING,reference,REF,24101
1,27060715,27067793,-,ENSGALG00010001196,,protein_coding,CODING,reference,REF,7079
1,27069520,27080126,-,ENSGALG00010001198,,protein_coding,CODING,reference,REF,10607
1,27120323,27174638,-,ENSGALG00010001251,,protein_coding,CODING,reference,REF,54316
1,27170705,27665806,-,ENSGALG00010001281,,protein_coding,CODING,reference,REF,495102
1,27174683,27420022,+,ENSGALG00010001298,,protein_coding,CODING,reference,REF,245340
1,27452618,27605816,+,ENSGALG00010001367,,protein_coding,CODING,reference,REF,153199
1,27665120,27890128,+,ENSGALG00010002270,,protein_coding,CODING,reference,REF,225009
1,28580369,28588852,-,ENSGALG00010001224,,protein_coding,CODING,reference,REF,8484
1,28589032,28599076,+,ENSGALG00010001228,,protein_coding,CODING,reference,REF,10045
1,28648095,28650908,-,ENSGALG00010001751,,protein_coding,CODING,reference,REF,2814
1,28668930,28704966,+,ENSGALG00010001753,,protein_coding,CODING,reference,REF,36037
1,28721952,28861286,+,ENSGALG00010001773,,protein_coding,CODING,reference,REF,139335
1,28900273,29138413,+,ENSGALG00010001785,,protein_coding,CODING,reference,REF,238141
1,29184012,29185836,+,ENSGALG00010001794,,protein_coding,CODING,reference,REF,1825
1,29184357,29433410,+,ENSGALG00010001827,,protein_coding,CODING,reference,REF,249054
1,29606233,29637308,-,ENSGALG00010002308,,protein_coding,CODING,reference,REF,31076
1,29649276,29677422,-,ENSGALG00010002295,,protein_coding,CODING,reference,REF,28147
1,29708126,29718549,-,ENSGALG00010001834,,protein_coding,CODING,reference,REF,10424
1,29719821,29789930,+,ENSGALG00010001838,,protein_coding,CODING,reference,REF,70110
1,29792346,29852409,-,ENSGALG00010001843,,protein_coding,CODING,reference,REF,60064
1,30064487,30148491,-,ENSGALG00010001858,,protein_coding,CODING,reference,REF,84005
1,30199581,30210526,-,ENSGALG00010001866,,protein_coding,CODING,reference,REF,10946
1,30210175,30221544,+,ENSGALG00010001879,,protein_coding,CODING,reference,REF,11370
1,30222785,30243357,-,ENSGALG00010001899,,protein_coding,CODING,reference,REF,20573
1,30253949,30449914,+,ENSGALG00010001912,,protein_coding,CODING,reference,REF,195966
1,30276293,30280669,-,ENSGALG00010001916,,protein_coding,CODING,reference,REF,4377
1,30459602,30465159,-,ENSGALG00010013735,,protein_coding,CODING,reference,REF,5558
1,30482015,30625713,-,ENSGALG00010013749,,protein_coding,CODING,reference,REF,143699
1,30670357,30674227,+,ENSGALG00010013765,,protein_coding,CODING,reference,REF,3871
1,30680570,30700960,-,ENSGALG00010013775,,protein_coding,CODING,reference,REF,20391
1,30739828,30809077,+,ENSGALG00010013784,,protein_coding,CODING,reference,REF,69250
1,30891553,30999136,+,ENSGALG00010013878,,protein_coding,CODING,reference,REF,107584
1,31005652,31047188,-,ENSGALG00010013945,,protein_coding,CODING,reference,REF,41537
1,31073821,31110913,-,ENSGALG00010013964,,protein_coding,CODING,reference,REF,37093
1,31126915,31141960,-,ENSGALG00010013977,,protein_coding,CODING,reference,REF,15046
1,31242303,31274484,-,ENSGALG00010014033,,protein_coding,CODING,reference,REF,32182
1,31378614,31401407,-,ENSGALG00010014109,,protein_coding,CODING,reference,REF,22794
1,31568897,31583839,-,ENSGALG00010014134,,protein_coding,CODING,reference,REF,14943
1,31583963,31594432,+,ENSGALG00010014151,,protein_coding,CODING,reference,REF,10470
1,31862744,31939424,-,ENSGALG00010014194,,protein_coding,CODING,reference,REF,76681
1,32176446,32256026,+,ENSGALG00010014226,,protein_coding,CODING,reference,REF,79581
1,32832348,33011560,-,ENSGALG00010011825,,protein_coding,CODING,reference,REF,179213
